Nom_poste,Contrat,Description,Salaire,Experience,Entreprise
Ingénieur DevOps - Editeur de logiciel Data F/H - Informatique de gestion (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Au sein d'une équipe infrastructure de 3 collaborateurs, vous aurez pour missions : 
* Administration des serveurs Linux et OVH du Groupe
* Mise en place et amélioration de la CI.CD : Gitlab, ArgoCD et FluxCD
* Optimisation et mise en place de clusters Kubernetes avec Helm
* Amélioration de la sécurité du SI
* Sensibilisation des développeurs aux bonnes pratiques DevOps  
Technologies : Linux, OVH Cloud, VMware, Kubernetes, Helm, Argo CD, Gitlab
Pourquoi rejoindre cette entreprise ?
* Société en croissance constante depuis plus de 6 années, avec +15% de CA annuel 
* Un accès à des données massives : travaillez avec plus de 300 millions de données mises à jour régulièrement offre un terrain riche pour l'exploitation de données complexes, permettant à leurs clients de réduire les risques de fraude et de solvabilité des fournisseurs 
* Pouvoir être force de proposition, avec la réalisation de POCs pour mettre en place de nouvelles technologies
* Certifiée EcoVadis Gold en 2023, preuve de leur implication envers leurs collaborateurs 
* Statut cadre 35h, Intéressement, Mutuelle prise en charge à 100%, Comité d'entreprise, 2j de télétravail/semaine 

Profil recherché:

* Vous avez au moins 2 années d'expérience professionnelle en tant qu'Ingénieur DevOps
* Une expertise sur les sujets Kubernetes et Helm est exigée, ainsi qu'une maîtrise de la gestion de serveurs Linux",Salaire brut : 37 - 47 k€ brut annuel,Expérience exigée de 2 An(s),SILKHOM
"Data Engineer F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

OPPORTUNITE A POURVOIR : Data Engineer 
Découvrez la Vie Apsidienne   et vous aussi, devenez Apsidien
On aurait pu demander à Chat GPT de vous démontrer en quoi Apside est l'ESN qu'il vous faut, mais on préfère que vous le découvriez vous-mêmes
 
Contexte
 
En tant que Data Engineer, vous serez intégré chez l'un de nos clients bancaires. L'objectif est la mise en place de codfunctions.
Environnement technique : SPARK/SCALA/ PYTHON / BIGQUERY + Bigtable/ SQL / KAFKA
 
 Localisation
IDF
 
 Le package salarial que nous vous proposons
 
* Contrat : CDI
* Rémunération selon profil
* Avantages groupe : carte ticket restaurant Swile, prime de mobilité, RTT, accord télétravail, Mutuelle, prime de cooptation.
* Avantages agence : avantages CE, afterworks, communauté techlead, prise en charge de la mutuelle à 100% etc.
* Formation : certifications techniques, cours particuliers d'anglais en interne, accès à un catalogue de formations grâce à notre plateforme e-learning (Academy by Apside) ou via nos organismes partenaires.

Profil recherché:

 Ô vous futur Apsidien, qui êtes-vous ?
* Profil de 4 ans min d'expérience
* Méthode agile
* Connaissance du cloud AWS",Salaire brut : 45 - 57 k€ brut annuel,Expérience exigée de 4 An(s),APSIDE
"Consultant Senior Data Scientist F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Au sein du Pôle Data & IA, constitué de 200 talents issus d'exertises et de profils variés, rejoignez le département Data Marketing Intelligence, son objectif : faire de la donnée un insight pour les équipes sales & marketing de nos clients.
 
Chez Epsilon nous sommes convaincus que chaque donnée raconte une histoire !
 
Nous accompagnons nos clients, sur toutes les problématiques métiers pour les aider à prendre des décisions éclairées en donnant du sens aux données : de la collecte des données et de leur analyse jusqu'à leur restitution en recommandations opérationnelles ou en dataViz.
 
Votre quotidien en tant que Consultant Senior Data Scientist,  vous gérez vos missions Data Science en toute autonomie :
Cadrez et challengez les besoins métiers
Mettez en place des rétroplanning adaptés aux contraintes, anticipez les besoins et les risques pour garantir des délais réalistes.
Analysez et synthétisez les informations pertinentes pour fournir des insights & recommandations : profil client, étude adhoc sur les comportements d'achats, parcours de navigation, impact d'un programme de fidélité, mesures de campagnes, études d'impact, MMM, géomarketing ...
Proposez les outils adéquats et nécessaires aux métiers pour accompagner les annonceurs dans la personnalisation de leurs actions CRM : dashboards, score d'appétence / Churn, segmentation RFM/comportementale 
Restituez les résultats et apportez les recommandations écrites 
Accompagnez et conseillez les équipes business (marketing, CRM, data science, IT, .)
Et toutes ces missions sont réalisées auprès d'experts data et dans un cadre de partage, d'écoute et d'audace ! Vous pouvez participer activement à la vie transverse du pôle Data & IA.

Profil recherché:

Vous avez acquis au moins 5 ans d'expériences en Data Science pour le Marketing, chez l'annonceur ou en prestation de services.  
 
Vous êtes orienté métier : vous cadrez avec force de proposition les besoins de vos clients, vous interpréter les datas et présentez les résultats de façon claire et convaincantes afin d'alimenter la compréhension et la réflexion au sein de l'entreprise.
 
Vous avez déjà géré des projets Data Marketing en autonomie du cadrage à la restitution.
 
Vous maîtrisez les méthodes statistiques et leurs applications opérationnelles, ainsi que l'un des principaux outils statistiques du marché : Python, R, Dataiku, SAS, .
 
Vos +
Vous n'hésitez pas à proposer de nouvelles idées et vous avez envie d'intégrer une équipe de consultants et de participer à l'animation transverse.
Vous avez envie d'encadrer des consultants plus jeunes et transmettre vos connaissances.
 
Choisissez :
Une entreprise pionnière dans le domaine des données depuis plus de 30 ans : nous appréhendons pleinement la valeur des données et les exploitons à leur plein potentiel.
Un centre de compétences spécialisé en Data Analyse et Data Science, au sein du Pôle Data & IA
De la diversité en termes de projets et de clients qui vous stimuleront quotidiennement (Renault, FDJ, ENGIE, SNCF, Chanel, Leclerc, Leroy Merlin et bien d'autres !)
Un parcours collaborateur dédié et de nombreuses possibilités d'évolutions
Notre forte ouverture à l'international à travers les opportunités offertes par le Groupe Publicis
Notre laboratoire NEXT qui nous maintient constamment à la pointe de l'innovation, avec plus de 20 projets R&D initiés chaque année
De nombreuses formations : Machine Learning, DataViz, Dataiku, R, Python, Agilité.qui vous permettront de monter en compétences et d'évoluer constamment !
 
Localisation :  Campus Bastille (Paris 11e) jusqu'en avril 2025, puis Campus 145 (rue de Courcelles, Paris 17e)
Rémunération : Nous savons que le salaire est un élément essentiel pour vous ! C'est pourquoi nous en parlerons sans tabou dès les premiers échanges. 
 
Les + EPSILON France : 
Accès Restaurant d'Entreprise (Campus Bastille) 
Travail Hybride grâce à notre Accord Télétravail qui autorise jusqu'à 2 jours par semaine 
Engagé avec le Forfait Mobilité Durable 
Dispositif d'Epargne Salariale (Accord d'intéressement et de participation) 
Work Your World : travailler dans le monde entier jusqu'à 6 semaines continues chaque année à partir d'un an d'ancienneté 
Formation : +30.000 modules accessibles en e-learning, et comprenant des certifications, en partenariat avec LinkedIn Learning sur la plateforme propriétaire Marcel Classes 
Viva La Différence !",Salaire brut : A négocier,Expérience exigée de 5 An(s),Soft Computing - Epsilon France
"Data Analyst - F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:


Rattaché au Directeur du Digital et du Développement Offre Internet, dans une équipe de 10 personnes, vos missions principales seront les suivantes :
- Maintien et suivi des Tableaux de Bords performances Actions Digitales
- Accompagnement des besoins d'analyses et organisation des DATA des branches métiers et mise en place de protos et de livrables destinés à enrichir les univers BI de la Firme.
- Analyses prospectives en vue de soutenir et d'accompagner les stratégies de développements des branches métiers accompagnées par la Direction du Digital de la Firme.

Profil recherché:


Vous êtes diplômé d'un Master Data Scientist / Analyst ou d'un Diplôme Ingénieur avec spécialisation BigData.
Vous avez une expérience significative de 2 ans minimum (hors alternance) dans un poste similaire.
Vous maitrisez les outils utilisés par la Data Science (R, Python....)
Vous connaissez les Outils/Plateforme d'Analytics et des KPIs associés au Digital
Autonome, rigoureux, organisé, vous avez des capacités à être force de propositions.
Vous êtes reconnu pour votre aisance relationnelle.",Salaire brut : A négocier,Expérience exigée de 2 An(s),Fiducial
"Data Ingénieur F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Dans le cadre des activités de notre client spécialisé dans le secteur bancaire et des assurances, vos missions seront les suivantes :
* Développement de pipelines de données : Concevoir et optimiser les flux de données en ELT.
* Transformation et Enrichissement : Transformer et modéliser les données pour les rendre exploitables par les équipes métiers (Actuaires et Data Scientists).
* Documentation &amp; Suivi : Assurer la documentation et le suivi des processus développés.
L'équipe est soudée, chacun contribue par l'entraide. Les suggestions et les retours sont constructifs.
Le rythme de travail s'étend sur 39h par semaine, sur site à Dijon.
Contexte de l'entreprise :&nbsp;
Qualité : L'équipe développe des processus, outils et rapports pour améliorer la qualité du système décisionnel assurance.
Contrôle : Participation à la création de contrôles de données (réglementaires ou internes) pour soutenir les autres équipes du groupe.

Profil recherché:

Vous disposez de 2 ans d'expérience minimum.
Les compétences techniques dont vous devez disposer :
* Pratique courante du SQL.
* Expérience avec un ETL/ELT (Semarchy, ODI, Talend.).
* Compréhension des concepts et implications des bases de données distribuées.
* Compétence en modélisation de données relationnelles.
* Utilisation d'un outil de versioning, idéalement GIT.
De plus, vous devez détenir une capacité à documenter et transmettre des informations techniques.
&nbsp;",Salaire brut : A partir de 36 k€ brut annuel,Expérience exigée de 2 An(s),EASTELSON
INGENIEUR DATA (H/F),"Contrat à durée indéterminée

Contrat travail","Rejoignez nos équipes de la DSI :

 * Notre équipe Systèmes d'Information rassemble 450 passionnés, 20 métiers qui travaillent sur plus de 350 projets et 800 applications à travers le monde. Proximité et innovation font partie de leur ADN. 
 * Leur mission ? Délivrer de la valeur ajoutée à leurs clients internes et externes en s'appuyant sur des méthodes agiles. 
 * Comment ? Par la protection des données, la continuité du business, le développement d'une expérience digitale positive et la co-construction d'initiatives stratégiques. 
 * Un seul objectif : ""Make IT happen"" ! .

 

 

Ce que nous allons accomplir ensemble :

« Rejoignez notre équipe de passionnés de la Data et prenez part à de nombreux projets à fort impact dans un contexte international. », Grégory Porcher, n+1 du poste

 

Contribuez à notre développement :

En tant que Data Engineer, vous rejoignez l'équipe Data for Consumer Solutions, spécialisée dans la conception et la mise en œuvre de solutions technologiques variées (architectures Data Cloud, IA, Dataviz.).

Votre mission est fortement orientée vers les métiers du Marketing, avec une transversalité permettant d'être en interface avec une multiplicité d'entités :

 * Innovation et Développement de services intégrés dans nos solutions digitales (Applications mobiles, IOT, Web.)
 * Marketing orienté activation consommateurs (campagnes marketing, CRM.)
 * Ventes directes : E-commerce et Retail (en magasins)

Vos responsabilités consistent à :  

 * Proposer des architectures et solutions technologiques (batch ou temps réel) permettant de répondre aux besoins métiers,
 * Mettre en œuvre la collecte des données produites par des sources multiples (connexion à des outils opérationnels, API.) et le traitement (structurées et semi-structurées) dans un Data Lake,
 * Concevoir les modèles de données les plus pertinents,
 * Industrialiser les solutions grâce aux outils Devops,
 * Administrer notre écosystème technologique, assurer l'exploitation des traitements et optimiser l'utilisation des ressources,
 * Interagir avec nos experts DataViz/Data Science, nos Chefs de Projet et partenaires métiers,
 * Assurer la veille technologique dans votre domaine d'expertise et être force de proposition.
Apportez vos compétences :

 * De formation supérieure bac+5, Ingénieur ou Master en Informatique, vous possédez une expérience professionnelle d'au moins 5 ans dans un rôle de Data Engineer pratiquant ces langages et outils : Spark, Scala, Java
 * Vous êtes familier des écosystèmes Cloud AWS (Glue, Stepfunction, .)
 * Une première expérience des méthodes Agiles et des concepts et outils DevOps (Git / Jenkins / Ansible / Docker / Maven) est un plus
 * Force de proposition, curiosité, autonomie, travail en équipe et travail ; passionné des sujets data, vous pratiquez une veille régulière
 * Anglais courant compte tenu du périmètre du poste

 

Rencontrons-nous : 

 * Le processus commence par un premier échange avec les équipes RH et le Manager
 * Ensuite vous échangerez avec le responsable du Domaine BI et gestion de la donnée et rencontrerez le Responsable DSI qui vous permettront d'avoir une vision plus large sur le Groupe SEB et la DSI

 
Intégrez un Groupe Français International qui : 

 1 Est animé au quotidien par ses valeurs : volonté d'entreprendre, passion pour l'innovation, professionnalisme, esprit de Groupe et respect de la personne avec des engagements citoyens et d'innovations durables concrets
 2 Permet aux collaborateurs de prendre des initiatives et d'évoluer : près de 1 poste sur 2 est pourvu en interne !
 3 Offre de nombreux avantages à ses collaborateurs : accords QVT dont 2 jours de télétravail par semaine, prime de vacances, participation/intéressement, CSE.

 

Découvrez notre site : CAMPUS SEB : siège mondial du Groupe SEB - YouTube

#LI-LM1",,Expérience exigée de 5 An(s),GROUPE SEB
"Senior Data Scientist F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

En tant que Data Scientist expérimenté, tes missions seront :
* Améliorer les algorithmes et les outils existants permettant d'explorer et d'analyser de plus en plus de données et de fournir des retours précis sur les activités de Teads.
* Développer de nouveaux algorithmes et de nouvelles approches pour fournir des prédictions précises et stimuler de nouveaux produits en fournissant des insights métier.
* Mettre en œuvre vos algorithmes et modèles de bout en bout.
* Collaborer avec une variété d'équipes pour développer des services de la conception à la production.
* Veiller à ce que le logiciel soit entre de bonnes mains en écrivant, exécutant et automatisant les tests (unitaires, fonctionnels, de charge...).
* Rester à jour avec les dernières technologies en matière d'apprentissage automatique pour s'assurer que nous utilisons toujours les algorithmes de la meilleure classe en fonction du contexte.

Profil recherché:

Vos compétences et expériences :
* Solides compétences en communication, travaillant en collaboration avec l'équipe, capable d'enseigner des concepts et de communiquer clairement sur des sujets complexes à un large public.
* Excellentes compétences en résolution de problèmes, et déduction de produits à partir de problèmes spécifiques.
* Véritables compétences de scientifique : apprentissage rapide, curiosité, sens du détail, rigueur.
* Expérience en statistiques (c'est-à-dire analyse statistique, analyse de régression, ...) et/ou en intelligence artificielle (c'est-à-dire data mining, apprentissage automatique, ...).
* Une appétence pour la science des données appliquée à des sujets à forte volumétrie et à faible latence.
* Capacité à lire des articles scientifiques, à les analyser de manière critique, et à les mettre en œuvre de manière appropriée.
* Bonnes compétences en programmation.
* Vous êtes très attentif à l'architecture de votre application, à ses performances, à ses tests, à sa maintenabilité et à sa qualité globale.
Points bonus :
* Systèmes distribués à grande échelle, architecture orientée services.
* Expérience antérieure avec tous ou certains éléments de notre pile technologique (nous utilisons principalement Scala, Spark, Breeze, Kafka, AWS, Jupyter notebooks).
* Connaissances en ingénierie des données.",Salaire brut : A partir de 50 k€ brut annuel,Expérience exigée de 5 An(s),Teads
Data Product Owner / Product Manager F/H - Informatique de gestion (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Afin d'accompagner la forte croissance de SOMA, nous sommes à la recherche de consultants data en tant que Product Owner et/ou Product Manager.  
Mission 
En tant que Product Owner/Product Manager chez SOMA, vous serez responsable de la gestion et du développement des produits data pour nos clients. Votre rôle principal sera d'accompagner nos clients dans la transformation de leur data management afin de répondre aux enjeux de leur modèle d'entreprise. Vous implémenterez des solutions dans le respect des pratiques du product management.     
 
Responsabilités principales  
- Réaliser des diagnostics, de la recherche utilisateur et des analyses fonctionnelles pour comprendre les besoins des clients. - - --  Proposer des démarches innovantes d'accompagnement et de restitution. 
- Contribuer à la définition de la roadmap du produit en alignement avec la stratégie de l'entreprise. 
- Rédiger les user stories et les spécifications fonctionnelles détaillées pour guider l'équipe de développement dans la réalisation du produit. 
- Participer à l'élaboration du budget du projet et veiller à ce que les ressources nécessaires soient allouées de manière optimale. 
- Gérer les agendas et les échéanciers pour assurer une livraison efficace et en temps voulu du produit. 
- Définir et piloter les indicateurs clés de performance (KPI) pour mesurer la réussite du produit et prendre des décisions basées sur les données. 
- Assurer une communication fluide et régulière avec les parties prenantes internes et externes pour maintenir une bonne compréhension des avancées du projet. 
- Piloter la livraison du produit en mode agile, en travaillant en étroite collaboration avec les équipes de développement et en assurant une itération continue pour répondre aux besoins changeants des clients. 
 
Vous avez également la possibilité de prendre des rôles de Practice Manager/Community leader afin d': 
* Intervenir sur des réponses à appel d'offre 
* Intervenir sur des phases d'avant-vente 
* Animer ou contribuer au développement des communautés (pratiques, veille, formation...) 

Profil recherché:

Profil recherché : 
- Expérience avérée en tant que Product Owner ou Product Manager, idéalement dans le secteur du conseil et de la data 
- Excellentes compétences en communication et en gestion de projet. 
- Connaissance des méthodologies produits et agiles. 
- Orienté(e) résultats, avec une forte orientation client.
-  Niveau d'étude : BAC + 5 informatique / Ecole d'ingénieur",Salaire brut : A négocier,Expérience exigée de 2 An(s),SOMA GROUP
INGENIEUR DATA (H/F),"Contrat à durée indéterminée

Contrat travail","Rejoignez nos équipes de la DSI :

 * Notre équipe Systèmes d'Information rassemble 450 passionnés, 20 métiers qui travaillent sur plus de 350 projets et 800 applications à travers le monde. Proximité et innovation font partie de leur ADN. 
 * Leur mission ? Délivrer de la valeur ajoutée à leurs clients internes et externes en s'appuyant sur des méthodes agiles.
 * Comment ? Par la protection des données, la continuité du business, le développement d'une expérience digitale positive et la co-construction d'initiatives stratégiques. 
 * Un seul objectif : ""Make IT happen"" ! 

 

Contribuez à notre développement :

L'équipe Data for SEB professional, au sein du domaine BI & Data Management, accompagne ses métiers sur de nombreux projets Data liés à l'activité B2B des machines à café professionnelles du Groupe Seb à travers ses marques WMF, Schaerer et Curtis implantées dans le monde, et pour les fonctions de Service, le pilotage Commercial, le Manufacturing, la Supply Chain et le Controlling.

En tant que Data Engineer, vous rejoignez notre équipe composée d'Experts Dataviz, Data Engineers et Experts Fonctionnels, pour concevoir, développer et maintenir des pipelines de données robustes et efficaces, afin de garantir la disponibilité et la qualité des données au sein de notre infrastructure.

 

Dans un contexte Agile, vos missions consistent à :

 * Proposer des architectures et solutions technologiques (batch ou temps réel) permettant de répondre aux besoins métiers.
 * Mettre en œuvre le traitement des données (structurées et semi-structurées) dans un Data Lake.
 * Concevoir les modèles de données les plus pertinents.
 * Industrialiser les solutions grâce aux outils Devops.
 * Administrer notre écosystème technologique, assurer l'exploitation des traitements et optimiser l'utilisation des ressources.
 * Interagir avec nos experts DataViz/Data Science, nos Chefs de Projet et partenaires métiers dans un contexte international.
 * Assurer la veille technologique dans votre domaine d'expertise et être force de proposition.
Apportez vos compétences :

 * De formation supérieure Bac+5, Ingénieur ou Master en Informatique, vous possédez une expérience professionnelle d'au moins 5 ans dans un rôle de Data Engineer.
 * Maîtrise des langages et outils tels que Spark, Scala, Java, ainsi que les environnements Azure (Azure Data Explorer, Azure DevOps). ; Bonnes connaissances des services Azure pour le traitement de données batch et streaming (Data Factory, Synapse), ainsi que des requêtes KQL et de leur optimisation.
 * Vous êtes familier avec la gestion de projets internationaux et les méthodologies agiles ; Une expérience dans les déploiements automatisés avec des outils comme ARM et la maîtrise des concepts DevOps (Git, Maven) est un plus.
 * Curiosité, autonomie, sens de l'organisation, capacité de travail en équipe pour partager vos connaissances
 * Anglais courant compte tenu du périmètre du poste 

 

Rencontrons-nous :

 * Le processus commence par un premier échange avec les équipes RH et le Manager.
 * Ensuite, vous échangerez avec le responsable du Domaine BI et Gestion de la donnée et rencontrerez le Responsable DSI qui vous permettront d'avoir une vision plus large sur le Groupe SEB et la DSI.

 

Intégrez un Groupe Français International qui : 

 * Est animé au quotidien par ses valeurs : Volonté d'entreprendre, passion pour l'innovation, professionnalisme, esprit de Groupe et respect de la personne avec des engagements citoyens et d'innovations durables concrets 
 * Permet aux collaborateurs de prendre des initiatives et d'évoluer : 1 poste sur 2 est pourvu en interne !
 * Offre de nombreux avantages à ses collaborateurs : accords QVT dont 2 jours de télétravail par semaine, prime de vacances, participation/intéressement, CSE.

Découvrez notre site : CAMPUS SEB : siège mondial du Groupe SEB - YouTube",,Expérience exigée de 5 An(s),GROUPE SEB
Ingénieur Commercial - Data/AMOA/Applicatif F/H - Commercial (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:
Votre objectif sera de développer notre activité commerciale dans l'une de nos BU Assurance/Finance/Industrie/Service

Auprès dune cible composée de clients grands comptes, vous allez :

 Développer nos activités auprès de comptes référencés

 Récupérer un embarqué de 5 à 10 collaborateurs

 Mener des actions de prospection afin de générer de nouvelles opportunités

 Promouvoir nos services pour transformer les prospects en clients

 Proposer un suivi qualitatif de la relation client afin de les fidéliser

 Répondre aux appels doffres

 Participer aux entretiens de recrutement des consultants, les chargés de recrutement s'occupent du sourcing !

 Réaliser le placement des consultants chez les clients, conformément à leurs besoins, attentes et objectifs

 Suivre et accompagner les consultants tout au long de leurs missions en veillant au bon déroulement des prestations

LES AVANTAGES :

Au-delà de jouer un rôle central dans notre développement commercial, nous vous proposons de :

Rejoindre une entreprise Great place to work depuis 4 ans et Best Place To Work 2023 et 2024

Evoluer rapidement vers un poste de Responsable d'Agence

Intégrer une société en forte croissance

Bénéficier dune forte politique RSE

Percevoir une rémunération attractive : package 50-60k

Variable garanti la 1ère année et prime de participation

Prendre part à une ambiance conviviale, avec des évènements de cohésion déquipe

Accéder à des avantages : RTT, CE

Participer au séminaire annuel

Profil recherché:

Issu dune formation de niveau bac+5, vous disposez d'une expérience dau moins minimum 1 an dans la prestation de services IT.

Vous misez notamment sur :

Votre autonomie, votre proactivité et votre mobilité

Votre sens du relationnel et votre tempérament de chasseur

Votre esprit stratège et votre vision entrepreneuriale

Vos capacités dorganisation et votre rigueur dans le suivi et le reporting de votre activité",Salaire brut : 50 - 60 k€ brut annuel,Débutant accepté,UPTOO
"Enseignant chercheur en Big Data et IA F/H - Système, réseaux, données (H/F)","Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Rattaché(e) au manager du Pôle Data et IA en cycle Master, composante de la direction du PGE (Programme Grande Ecole ingénieur), l'« Enseignant-Chercheur en Big Data & Machine Learning » renforcera l'équipe pédagogique impliquée dans les enseignements du Big Data et de l'intelligence artificielle au sein de l'école (Programme Grande École, Programmes Experts du Numérique et formation continue). L'Enseignant-Chercheur recruté sera responsable de la majeure « Big Data et Machine Learning » qui est une majeure en apprentissage.
En termes de Recherche, il/elle rejoindra une des équipes du laboratoire « Efrei Research Lab » en particulier dans l'axe Data et l'Intelligence Artificielle.
Activités d'enseignement :
* 
Assurer des enseignements en Big Data et IA (Machine Learning, Deep Learning, Data Science, Data engineering?).
* 
Préparer les étudiants aux certifications professionnelles relatives au domaine du Big Data et l'IA.
* 
Accompagner les étudiants : préparation de concours, hackathons, tutorat de projets?
* 
Participer au montage, à l'animation et au pilotage de nouvelles formations de l'école dans son domaine d'expertise (PGE, PEx et formation continue). 
Activités de recherche :
* 
Participer aux activités de recherche du laboratoire ?Efrei Research Lab' à travers des communications scientifiques (conférences avec comité de lecture, journaux?).
* 
Contribuer aux transfert technologiques vers les entreprises à travers des activités de prestations et/ou de montage de spin-off.
* 
Initier et/ou participer à l'organisation de conférences scientifiques dans le domaine de l'Intelligence Artificielle et du Big Data.
* 
Participer à des projets collaboratifs de R&D à l'échelle nationale ou internationale.
Responsabilité de la majeure :
* 
Conception du programme de la majeure
* 
Recrutement des intervenants externes
* 
Validation des missions des apprentis et suivi des étudiants
Participation à la vie de l'école :
* 
Contribuer au développement de l'École en participant aux évènements tels que les Journées Portes Ouvertes, les conférences lors des salons de recrutement d'étudiants.
* 
Organiser des conférences thématiques dans le domaine du Big Data et l'intelligence artificielle pour accroître la visibilité et la notoriété de l'École dans ce domaine.
Autres :
* 
Selon le profil et les besoins de l'école, d'autres responsabilités d'encadrement pédagogique peuvent être ajoutées (exemple : nouveaux programmes, projets étudiants?).

Profil recherché:

Vous êtes diplômé(e) d'un Doctorat en Informatique (section 27) avec une bonne maîtrise des thématiques IA et Data (Machine Learning, Deep Learning?) et une expérience confirmée dans l'enseignement supérieur.
Vous possédez un bon relationnel vous permettant de vous intégrer à une équipe pluridisciplinaire.
Vous parlez couramment anglais (certains enseignements à réaliser en anglais au niveau Master).",Salaire brut : A négocier,Expérience exigée de 3 An(s),Efrei  Paris
Consultant BI - Data F/H - Maîtrise d'ouvrage et fonctionnel (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Afin de compléter les équipes d'un de nos clients situé à proximité d'Aix-en-Provence, nous sommes à la recherche d'un consultant BI - Data (F/H).
Vos principales missions seront les suivantes : 
* Contribuer aux projets sur tous les sujets inhérents à l'écosystème DATA : Stockage, modélisation, machine learning, datawiz, datalake, datawarehouse
* Concevoir et mettre en place l'architecture des systèmes de gestion des données de l'entreprise, en tenant compte des besoins métier, des contraintes techniques, des normes de sécurité et de la stratégie d'entreprise
* Définir les standards, les bonnes pratiques et les méthodologies de conception et d'intégration des solutions de collecte, de stockage, de traitement, de restitution et de cycle de vie de la donnée
* Développer et mettre en oeuvre des stratégies de gestion de la donnée afin de garantir la disponibilité, l'intégrité, la confidentialité et la traçabilité des informations
* Mettre en oeuvre des mesures de sécurité robustes pour protéger les données sensibles, en conformité avec les réglementations en vigueur
* Surveiller et optimiser en continu les performances des bases de données et des processus pour garantir une accessibilité rapide aux données
* Assurer une veille technologique permanente 

Profil recherché:

* Vous avez au moins 6 ans d'expérience sur un poste similaire
* Vous maîtrisez des technologies et des outils liés à la data autour des périmètres applicatifs datawarehouse, datalake
* Vous avez une grande maîtrise du cycle de vie de la data et des principes d'architecture",Salaire brut : A négocier,Expérience exigée de 6 An(s),LAURALBA CONSEIL
"Data/Business Analyst TV (Bilingue Coréen) F/H - Système, réseaux, données (H/F)","Contrat à durée déterminée - 6 Mois

Contrat travail","Descriptif du poste:


Le Data/Business Analyst TV (bilingue coréen) sera le pilier central pour la définition des objectifs et la gestion des ressources nécessaires au sein de la division. Il aura pour mission de maintenir l'équilibre entre les objectifs fixés et les ressources allouées, tout en assurant une communication fluide avec les parties prenantes. À ce titre, ses missions principales seront les suivantes :
* Définition des objectifs de vente, ressources financières et éléments critiques tels que les prix de vente et d'achat ;
* Communication autour de l'état de planification ;
* Préparation de l'ensemble des données ;
* Création de rapports sur l'équilibre des ressources en fonction de la progression des activités commerciales ;
* Réponse aux demandes ad hoc et réalisation d'analyses pour le Directeur Commercial ;
* Suivi des indicateurs de performances commerciales ;
* Élaboration de plans d'objectifs solides avec des prévisions de demande précises et une analyse des situations de marché.

Profil recherché:


Diplômé d'une formation supérieure en commerce, marketing ou finance (Bac +5 minimum de type école de commerce), vous justifiez d'au moins 3 ans d'expérience à un poste similaire (opérations de ventes, finance, ou contrôle budgétaire).

Une parfaite maîtrise de la langue coréenne est indispensable.

Vous avez une utilisation courante des solutions SAP, de business intelligence utilisées dans le domaine commercial et Microsoft Office.

Excellentes compétences analytiques, grande capacité d'adaptation et mentalité orientée résultats sont des qualités essentielles pour ce poste.",Salaire brut : 40 - 47 k€ brut annuel,Débutant accepté,PAGE PERSONNEL
Data Analyst Alteryx F/H - Informatique de gestion (H/F),"Contrat à durée indéterminée

Contrat travail","Descriptif du poste:

Dans le cadre du renforcement d'une équipe de 15 à 20 personnes, vous aurez pour principale mission :
* Le développement, l'automatisation et la migration des outils existants
* L'accompagnement et la formation des équipes métiers
* L'analyse et le traitement de données via le logiciel SAS
Environnement technique : Alteryx, Power BI, SAS, SQL

Profil recherché:

De&nbsp;formation supérieure en informatique&nbsp;(Bac + 3 à 5), vous disposez d'une expérience réussie (minimum 3 ans), en tant que développeur dans de domaine de la Data.&nbsp;
La maitrise d'Alteryx est obligatoire pour le poste.&nbsp;

Votre sens du service, votre rigueur, votre aisance relationnelle associée à un esprit de méthode seront des qualités indispensables à la réussite de vos missions.",Salaire brut : 42 - 60 k€ brut annuel,Expérience exigée de 3 An(s),ATIISS
