Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Ingénieur informatique,immédiate,68 - MULHOUSE,Adapter les outils de traitement statistique de données Business Intelligence BI Informatique décisionnelle Langages de programmation informatique Logiciels de gestion de base de données,Algorithmique Analyse de données expérimentales Big data Analytics Business Intelligence BI Informatique décisionnelle Langages de programmation informatique Logiciels de gestion de base de données Modélisation et simulation Modélisation statistique Systèmes dinformation de gestion,Stage PFE Data Scientist EpicEvents Paris 3 Ans,Intérim,Autre,36.0,68,29
"Responsable Production, Logistique et Exploitation",immédiate,74 - ANNECY,Optimisation des flux de production Diriger et gérer un ensemble une structure une organisation Gestion du personnel formation recrutement Maintenance préventive et curative Piloter une démarche qualité un processus damélioration continue,Analyse de données de production Avancé Cadre réglementaire environnemental Droit de la propriété intellectuelle Avancé Externalisation des systèmes dinformation Intermédiaire Gestion de projet Avancé Marketing Mercatique Intermédiaire Méthodes danalyse systémique fonctionnelle de risques Intermédiaire Méthodes dordonnancement Intermédiaire Méthodes dorganisation du travail Avancé Modélisation informatique Intermédiaire Normes qualité Avancé Normes Qualité Sécurité Environnement QSE Avancé Organisation de la chaîne logistique Avancé Outils de planification des ressources humaines Avancé Règlement Général européen sur la Protection des Données RGPD Avancé,Master MANAGEMENT OPERATIONNEL MENTION ESSEC Paris Bac5 et plus ou équivalents 4 Ans,Intérim,Autre,48.0,74,30
"Préparateur physique, spécialisé en analyse de données pour la performance sportive.",immédiate,34 - MONTPELLIER,Concevoir et mettre en place un programme de préparation physique Faire preuve dautonomie Faire preuve de curiosité Mobiliser des savoirs scientifiques pluridisciplinaires Sadapter aux changements,Concevoir et mettre en place un programme de préparation physique,Préparateur physique Personal Trainer indépendant JEROME MULLER EI Break Hossegor SoortsHossegor 5 Ans,CDD-alternance,Autre,60.0,34,31
Ingénieure Informatique à la recherche d'une nouvelle opportunité,immédiate,59 - LILLE,Concevoir une application web Faire preuve de curiosité Recueillir et analyser les besoins client Rédiger un cahier des charges des spécifications techniques Travailler en équipe,Application web ASPNET Bitbucket C CSS Docker Finance Gestion de bases de données NoSQL HTML Informatique scientifique et technique JIRA Microsoft SQL Server Programmation en JavaScript Programmation en Python Réseaux informatiques et télécoms Systèmes dinformation de gestion Utilisation de frameworks de test,Consultantnetangular Groupe Robert Inc Tunisie 4 Ans,CDD,Autre,48.0,59,32
"Acheteur junior, passionné et motivé",immédiate,64 - PAU,,Élaborer une stratégie dachat optimiser la procédure dachat Évaluer des fournisseurs soustraitants prestataires Débutant Identifier et sélectionner des fournisseurs soustraitants prestataires Intermédiaire Lancer et gérer un appel doffres Débutant,Acheteur junior 3DTEX Saintmalo 3 Ans,CDD,Autre,36.0,64,33
Emploi dans l'insertion / Ou dans le secteur public,immédiate,14 - CAEN,,Définir une ligne éditoriale Définir une stratégie de communication Réaliser des actions de relation publique de diffusion et de promotion de linformation Rédiger des communiqués de presse Rédiger le contenu dun support de communication Rédiger un article un contenu éditorial,Responsable de site Paris responsable pédagogique Wake up Café Paris 1 Ans,CDI,Autre,12.0,14,34
Business Intelligence Analyst,immédiate,18 - BOURGES,Business Intelligence BI Informatique décisionnelle Gestion de bases de données NoSQL Gestion de projet Recueillir et analyser les besoins client,Analyse de données expérimentales Architecture propriétaire Big data Analytics Business Intelligence BI Informatique décisionnelle Comptabilité générale Économétrie Finance Gestion de bases de données NoSQL Intelligence économique Logiciel de traitement de texte Avancé Programmation logicielle Systèmes dinformation de gestion Utilisation de logiciels de tableur Avancé Utilisation de logiciels statistiques,Data Sciences Internship Plagiashield France IDF 1 Ans,Intérim,Consultant BI,12.0,18,35
"Développeur Full Stack | Solutions Web Axées sur les Données | Stack MERN, Next.js et Technologies Cloud",immédiate,26 - VALENCE,Travailler en équipe Nodejs React React Native Anglais,Android Native Development Kit NDK Avancé Big data Analytics Intermédiaire Développement dapplications mobiles Avancé Gestion de données Intermédiaire Intelligence artificielle Intermédiaire Logiciels de gestion de base de données Avancé Maîtrise du pack Office Word Excel Outlook PowerPoint Avancé MySQL Avancé Nodejs Avancé Programmation en Python Avancé Technologies HADOOP Intermédiaire,Hetic Paris Iledefrance Master Data Et Intelligence Artificielle Bac5 et plus ou équivalents 4 Ans,CDD,Développeur,48.0,26,36
Ingénieur FullStack .Net core Angular,immédiate,France,ASPNET Business Intelligence BI Informatique décisionnelle C Gestion de bases de données NoSQL PHP,Algorithmique Apache Avancé Architecture web Avancé ASPNET Avancé Business Intelligence BI Informatique décisionnelle Avancé C Avancé CSS Avancé Gestion de bases de données NoSQL Avancé Gestion des configurations Avancé HTML Avancé Informatique scientifique et technique Avancé PHP Avancé Progiciels de gestion intégrée dentreprise ERP Avancé Programmation logicielle Avancé Systèmes dexploitation informatique Avancé Systèmes dinformation de gestion Avancé,Développeur Backend c Net Core Education4Sight httpseducation4sightcom Route Taniour Sfax TunisieCette Expérience contient une pièce jointe 3 Ans,CDD-alternance,Autre,36.0,France,37
Analyste Fonctionnel,immédiate,13 - MARSEILLE,,Administration de serveurs de messagerie Algorithmique Comptabilité générale Finance Logiciels dinterface middleware Progiciels de gestion intégrée dentreprise ERP Progiciels industriels et techniques Réseaux informatiques et télécoms Sécurité des systèmes embarqués Système dexploitation Linux Système dexploitation Unix Système dexploitation Windows Système de Gestion de Bases de Données SGBD Système interactif daide à la Décision SIAD Système réseau LAN MAN WAN Techniques daudit interne,Master 2 SICG Bac5 et plus ou équivalents 1 Ans,Intérim,Autre,12.0,13,38
"Document Controller avec trois ans d'expérience dans le secteur du pétrole, du gaz et de l'énergie. Expert en gestion de la documentation technique avec les logiciels GED.",immédiate,75 - PARIS 18,Aconex Progiciels de gestion intégrée dentreprise ERP SharePoint Anglais,Classer des documents Gérer une base documentaire Maintenir une documentation précise et à jour Réaliser une veille documentaire Sélectionner des informations documentaires,Document Controller Ferrostaal Industrieanlagen Libyen Ltd Tunisie 1 Ans,CDD,Autre,12.0,75,39
Data Scientist | Data Analyst | Statisticien,immédiate,22 - SAINT-BRIEUC,Travailler en équipe Méthode AGILE Application des méthodes de machine learning dans BI Big data Analytics Data visualisation,Analyse de données expérimentales Intermédiaire Application des méthodes de machine learning dans BI Intermédiaire Big data Analytics Intermédiaire Économétrie Débutant Langages de programmation informatique Avancé Logiciels de gestion de base de données Avancé Modélisation et simulation Intermédiaire Programmation en Python Intermédiaire Système dexploitation Linux Débutant Système dexploitation Windows Avancé Utilisation de logiciels statistiques Intermédiaire Visual Basic for Applications VBA Intermédiaire,Equipière polyvalent Carrefour Bailly Romainvillers 1 Ans,CDD-alternance,Data Analyst,12.0,22,40
À la recherche d'un CDI en tant que Data Analyst,immédiate,07 - PRIVAS,Adapter les outils de traitement statistique de données Analyser exploiter structurer des données Big data Analytics Collaborer dans un groupe pour réaliser un projet Intelligence artificielle,Analyse de données expérimentales Intermédiaire Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Intermédiaire Insights marketing Intermédiaire Intelligence artificielle Intermédiaire Java Intermédiaire Langages de programmation informatique Intermédiaire Logiciels de gestion de base de données Intermédiaire Programmation logicielle Intermédiaire,Ingenieur data finance Bac5 et plus ou équivalents 5 Ans,CDD-alternance,Data Analyst,60.0,07,41
DATA SCIENTIST,immédiate,45 - ORLÉANS,Exploiter des solutions de Data Science ou dIntelligence Artificielle Paramétrer un logiciel un outil un système numérique Traduire les demandes de lentreprise en solutions techniques Anglais,Adapter les outils de traitement statistique de données Analyser traiter linformation à des fins danticipation Analyser des données pour soutenir des décisions stratégiques Assurer le suivi de la qualité des données Concevoir une application web Définir et faire évoluer des procédés de traitement de linformation Définir les solutions de stockage et de structuration des données Exploiter des solutions de Data Science ou dIntelligence Artificielle Gérer des données massives Lire et interpréter des données et documents techniques au besoin en anglais Mobiliser des données massives pour éclairer les prises de décisions Optimiser des algorithmes une application informatique et mettre en oeuvre leur développement Paramétrer un logiciel un outil un système numérique Procéder aux phases de tests et de recettes des applications développées Réaliser une analyse ou modélisation statistique de données Réaliser un modèle de prévision Utiliser des logiciels spécifiques,Data scientist DOC EUROPA 1 Ans,CDD-alternance,Data Scientist,12.0,45,42
Data Scientist/Analyst - Analytics Engineer - Développeur Python,immédiate,03 - MOULINS,Algorithmique Analyse de données expérimentales Analyser exploiter structurer des données Logiciels de gestion de base de données Techniques dexploration de données data mining,Algorithmique Avancé Analyse de données expérimentales Avancé Application web Big data Analytics Avancé Conception et analyse denquête Avancé Connaissance des produits financiers Économétrie Avancé Économie du développement durable Intelligence économique Avancé Logiciels de gestion de base de données Avancé Modélisation et simulation Avancé Sciences économiques et sociales Avancé Techniques dexploration de données data mining Avancé Utilisation de logiciels statistiques Avancé,Développeur Référent BI Foyer Rémois Reims 4 Ans,CDD-alternance,Data Scientist,48.0,03,43
Consultant Data,immédiate,11 - CARCASSONNE,Analyser exploiter structurer des données Big data Analytics Concevoir et gérer un projet Langages de programmation informatique Modélisation et simulation,Big data Analytics Business Intelligence BI Informatique décisionnelle Gestion des relations clientèle Langages de programmation informatique Modélisation et simulation Modélisation statistique,Master Big data et Data Science en Finance Titre dExpert en ingénierie financière Bac5 et plus ou équivalents 3 Ans,CDD,Autre,36.0,11,44
Data Scientist spécialisé en Machine Learning et Intelligence Artificielle à la recherche d'une alternance/Opportunité.,immédiate,76 - ROUEN,Business Intelligence BI Informatique décisionnelle Déterminer lopportunité de lintégration doutils IAData Science dans le modèle daffaires Modélisation et simulation Programmation en Python Anglais,Business Intelligence BI Informatique décisionnelle Java Modélisation et simulation Modélisation statistique Programmation en Python Système de Gestion de Bases de Données SGBD Technologies HADOOP,Chef de projet DATA et Intelligence Artificielle Data Scientist Bac5 et plus ou équivalents 2 Ans,CDD-alternance,Data Scientist,24.0,76,45
A la recherche d'un poste du Data Scientist \ Data Engineer,immédiate,34 - MONTPELLIER,Adapter les outils de traitement statistique de données Algorithmique Big data Analytics Langages de programmation informatique Logiciels de gestion de base de données,Algorithmique Analyse de données expérimentales Big data Analytics Business Intelligence BI Informatique décisionnelle Langages de programmation informatique Logiciels de gestion de base de données Modélisation et simulation Utilisation de logiciels statistiques,Data Enginner Data Scientist AKKODIS Toulouse France 4 Ans,CDD-alternance,Data Engineer,48.0,34,46
Data analyst,immédiate,57 - METZ,Looker studio Power BI Gestion de bases de données NoSQL Programmation en Python Techniques dexploration de données data mining,Application des méthodes de machine learning dans BI Intermédiaire Big data Analytics Business Intelligence BI Informatique décisionnelle Gestion de bases de données NoSQL Avancé Langages de programmation informatique Programmation en Python Avancé Techniques dexploration de données data mining Avancé,Data engineer BC02 élaborer une solution technique de collecte et de traitement de données massive 3 Ans,CDI,Data Analyst,36.0,57,47
Dévelopeur Jeux/.Net/Web,immédiate,11 - CARCASSONNE,Intégrer des outils IAData Science Langage C Untiy Utilisation de frameworks de test C,ASPNET Débutant C Avancé Java Intermédiaire Langage C Intermédiaire Programmation en Python Avancé Reactjs Débutant Utilisation de frameworks de test Intermédiaire,Dévelopeur dapplication en freelance Arborus 5 Ans,CDD,Autre,60.0,11,48
A la recherche d'un poste de Data Scientist/Analyst.,immédiate,10 - TROYES,Analyser traiter linformation à des fins danticipation Faire preuve de rigueur et de précision Modélisation statistique Prendre des initiatives et être force de proposition Python,GitLab Avancé Modélisation et simulation Modélisation statistique MySQL Intermédiaire Progiciel de gestion SAS Statistiques Avancé Programmation en Python,Ingénieur Machine Learning Stage de fin détudes Worldline Blois 5 Ans,Intérim,Data Scientist,60.0,10,49
Data Analyst - Chef de Projet Packaging Junior,immédiate,76 - ROUEN,Faire preuve dautonomie Faire preuve de réactivité Faire preuve de rigueur et de précision Prendre des initiatives et être force de proposition Travailler en équipe,Accompagner des équipes au niveau technique et méthodologique Avancé Animer coordonner une équipe Avancé Faciliter les projets et transformations Avancé Favoriser et mesurer la performance dune équipe Avancé Organiser le travail dune équipe Avancé,Data Analyst Business Intelligence Amazon Augny grandest France 3 Ans,CDD,Data Analyst,36.0,76,50
